Cell_ID,Ligand_Label
Cell28322,4
Cell67360,4
Cell52631,4
Cell24076,4
Cell23376,4
Cell2413,4
Cell5893,4
Cell30836,4
Cell3836,4
Cell37101,4
Cell38106,4
Cell1406,4
Cell51094,4
Cell28436,4
Cell3467,4
Cell24378,4
Cell59521,4
Cell46067,4
Cell50360,4
Cell72926,4
Cell50576,4
Cell51069,4
Cell26310,4
Cell15876,4
Cell38142,4
Cell11588,4
Cell21608,4
Cell14267,4
Cell7346,4
Cell36496,4
Cell46358,4
Cell68717,4
Cell66365,4
Cell2401,4
Cell65748,4
Cell54649,4
Cell31809,4
Cell1031,4
Cell55014,4
Cell27212,4
Cell12990,4
Cell24088,4
Cell48324,4
Cell9900,4
Cell71388,4
Cell11765,4
Cell30581,4
Cell4519,4
Cell57061,4
Cell26239,4
Cell11462,4
Cell20956,4
Cell53604,4
Cell19452,4
Cell1462,4
Cell40057,4
Cell53511,4
Cell44751,4
Cell45060,4
Cell22950,4
Cell51689,4
Cell57856,4
Cell57766,4
Cell14365,4
Cell56962,4
Cell19653,4
Cell66762,4
Cell9449,4
Cell24071,4
Cell31455,4
Cell13792,4
Cell71684,4
Cell24595,4
Cell60559,4
Cell21034,4
Cell37406,4
Cell26128,4
Cell62862,4
Cell11728,4
Cell56681,4
Cell9948,4
Cell9810,4
Cell48132,4
Cell39255,4
Cell11695,4
Cell66320,4
Cell60630,4
Cell44327,4
Cell15909,4
Cell43434,4
Cell14719,4
Cell14431,4
Cell32045,4
Cell65900,4
Cell17404,4
Cell34605,4
Cell56590,4
Cell28016,4
Cell18324,4
Cell13711,4
Cell53320,4
Cell67688,4
Cell12636,4
Cell1636,4
Cell52887,4
Cell37228,4
Cell8010,4
Cell10354,4
Cell22086,4
Cell62711,4
Cell31150,4
Cell10911,4
Cell59597,4
Cell15285,4
Cell6997,4
Cell30538,4
Cell41411,4
Cell65474,4
Cell66553,4
Cell65105,4
Cell6157,4
Cell46898,4
Cell43849,4
Cell59140,4
Cell40230,4
Cell70359,4
Cell51476,4
Cell32116,4
Cell59716,4
