,Cell_ID,Ligand_Label
0,Cell13575,1
1,Cell14918,1
2,Cell12390,1
3,Cell13101,1
4,Cell6784,1
5,Cell9368,1
6,Cell10384,1
7,Cell3415,1
8,Cell6104,1
9,Cell8389,1
10,Cell6175,1
11,Cell6735,1
12,Cell8357,1
13,Cell3769,1
14,Cell2985,1
15,Cell1737,1
16,Cell3203,1
17,Cell13562,1
18,Cell6148,1
19,Cell12843,1
20,Cell10674,1
21,Cell922,1
22,Cell3227,1
23,Cell9475,1
24,Cell12586,1
25,Cell9742,1
26,Cell13427,1
27,Cell7102,1
28,Cell10769,1
29,Cell2480,1
30,Cell6287,1
31,Cell14691,1
32,Cell14783,1
33,Cell3288,1
34,Cell786,1
35,Cell11347,1
36,Cell11494,1
37,Cell9273,1
38,Cell3060,1
39,Cell14164,1
40,Cell10572,1
41,Cell8458,1
42,Cell7711,1
43,Cell13117,1
44,Cell10364,1
45,Cell8109,1
46,Cell12811,1
47,Cell2733,1
48,Cell2627,1
49,Cell11432,1
50,Cell3400,1
51,Cell11488,1
52,Cell7579,1
53,Cell12702,1
54,Cell9225,1
55,Cell467,1
56,Cell2608,1
57,Cell618,1
58,Cell7583,1
59,Cell3674,1
60,Cell11568,1
61,Cell6113,1
62,Cell8897,1
63,Cell6645,1
64,Cell10181,1
65,Cell6824,1
66,Cell6070,1
67,Cell13485,1
68,Cell8632,1
69,Cell10833,1
70,Cell9796,1
71,Cell820,1
72,Cell14846,1
73,Cell12256,1
74,Cell14192,1
75,Cell10765,1
76,Cell10316,1
77,Cell5418,1
78,Cell5349,1
79,Cell10879,1
80,Cell11308,1
81,Cell14400,1
82,Cell219,1
83,Cell14415,1
84,Cell5286,1
85,Cell184,1
86,Cell13246,1
87,Cell6366,1
88,Cell4202,1
89,Cell7369,1
90,Cell928,1
91,Cell11134,1
92,Cell2083,1
93,Cell6403,1
94,Cell49,1
95,Cell4255,1
96,Cell15774,1
97,Cell9110,1
98,Cell3730,1
99,Cell15219,1
100,Cell5458,1
101,Cell14619,1
102,Cell9154,1
103,Cell14791,1
104,Cell10640,1
105,Cell7194,1
106,Cell5311,1
107,Cell7539,1
108,Cell11843,1
109,Cell15556,1
110,Cell8116,1
111,Cell10307,1
112,Cell14330,1
113,Cell10614,1
114,Cell10787,1
115,Cell8394,1
116,Cell9444,1
117,Cell422,1
118,Cell4168,1
119,Cell14188,1
120,Cell1962,1
121,Cell6770,1
122,Cell12374,1
123,Cell6141,1
124,Cell8309,1
125,Cell8149,1
126,Cell2362,1
127,Cell10548,1
128,Cell2181,1
